,index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month,seasons,option_buy,median_price_zipcode,sell_price_summer,sell_price_winter,sell_price_autumn,sell_price_spring
11,18,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,no,0,4,7,1200.0,0,1921,0,98002,47.3089,-122.21,1060,5095,12-05,autumn,buy,235000.0,245700.0,245700.0,245700.0,245700.0
12,19,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,no,0,4,7,1250.0,0,1969,0,98003,47.3343,-122.306,1280,8850,04-24,spring,buy,267475.0,299000.0,299000.0,299000.0,299000.0
13,22,7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,no,0,3,8,2270.0,0,1995,0,98092,47.3266,-122.169,2240,7005,07-03,summer,buy,309780.0,370500.0,370500.0,370500.0,370500.0
14,23,8091400200,2014-05-16,252700.0,2,1.5,1070,9643,1.0,no,0,3,7,1070.0,0,1985,0,98030,47.3533,-122.166,1220,8386,05-16,spring,buy,282255.0,328510.0,328510.0,328510.0,328510.0
15,25,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,no,0,5,6,1710.0,0,1941,0,98002,47.3048,-122.218,1030,4705,11-03,autumn,buy,235000.0,256300.00000000003,256300.00000000003,302900.0,0.0
16,27,3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,no,0,5,8,1400.0,0,1909,0,98112,47.6221,-122.314,1860,3861,12-01,autumn,buy,915000.0,867100.0,867100.0,867100.0,867100.0
17,28,5101402488,2014-06-24,438000.0,3,1.75,1520,6380,1.0,no,0,3,7,790.0,730,1948,0,98115,47.695,-122.304,1520,6235,06-24,summer,buy,567000.0,569400.0,569400.0,569400.0,569400.0
18,31,2426039314,2014-12-01,280000.0,2,1.5,1190,1265,3.0,no,0,3,7,1190.0,0,2005,0,98133,47.7274,-122.357,1390,1756,12-01,autumn,buy,375000.0,364000.0,364000.0,364000.0,364000.0
19,33,7589200193,2014-11-10,535000.0,3,1.0,1090,3000,1.5,no,0,4,8,1090.0,0,1929,0,98117,47.6889,-122.375,1570,5080,11-10,autumn,buy,544000.0,695500.0,695500.0,695500.0,695500.0
20,34,7955080270,2014-12-03,322500.0,4,2.75,2060,6659,1.0,no,0,3,7,1280.0,780,1981,0,98058,47.4276,-122.157,2020,8720,12-03,autumn,buy,335000.0,419250.0,419250.0,354750.0,419250.0
21,40,5547700270,2014-07-15,625000.0,4,2.5,2570,5520,2.0,no,0,3,9,2570.0,0,2000,0,98074,47.6145,-122.027,2470,5669,07-15,summer,buy,642000.0,812500.0,812500.0,812500.0,812500.0
22,43,9270200160,2014-10-28,685000.0,3,1.0,1570,2280,2.0,no,0,3,7,1570.0,0,1922,0,98119,47.6413,-122.364,1580,2640,10-28,autumn,buy,744975.0,753500.0000000001,753500.0000000001,890500.0,890500.0
23,44,1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,no,0,4,6,920.0,360,1959,0,98058,47.4485,-122.175,1340,8808,07-29,summer,buy,335000.0,401700.0,401700.0,401700.0,401700.0
24,46,8945200830,2015-03-25,210490.0,3,1.0,990,8528,1.0,no,0,3,6,990.0,0,1966,0,98023,47.3066,-122.371,1228,8840,03-25,spring,buy,268450.0,273637.0,273637.0,273637.0,273637.0
25,48,9215400105,2015-04-28,450000.0,3,1.75,1250,5963,1.0,no,0,4,7,1250.0,0,1953,0,98115,47.6796,-122.301,970,5100,04-28,spring,buy,567000.0,585000.0,585000.0,585000.0,585000.0
26,50,5245600105,2014-09-16,228000.0,3,1.0,1190,9199,1.0,no,0,3,7,1190.0,0,1955,0,98148,47.4258,-122.322,1190,9364,09-16,summer,buy,278000.0,296400.0,296400.0,296400.0,296400.0
27,51,7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,no,0,4,8,1640.0,1510,1966,0,98056,47.4934,-122.189,1990,9133,02-17,winter,buy,380000.0,448500.0,448500.0,448500.0,448500.0
28,59,8079040320,2015-02-23,430000.0,4,3.0,1850,9976,2.0,no,0,3,8,1850.0,0,1991,0,98059,47.5059,-122.149,2270,8542,02-23,winter,buy,435000.0,559000.0,473000.00000000006,473000.00000000006,559000.0
29,63,9528102996,2014-12-07,549000.0,3,1.75,1540,1044,3.0,no,0,3,8,1540.0,0,2014,0,98115,47.6765,-122.32,1580,3090,12-07,autumn,buy,567000.0,713700.0,713700.0,713700.0,713700.0
30,64,1189001180,2014-06-03,425000.0,3,2.25,1660,6000,1.0,no,0,3,7,1110.0,550,1979,0,98122,47.6113,-122.297,1440,4080,06-03,spring,buy,572000.0,552500.0,552500.0,552500.0,552500.0
31,65,3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,no,0,5,7,1770.0,1000,1925,0,98144,47.5747,-122.304,1440,4000,11-20,autumn,buy,450000.0,412912.5,412912.5,412912.5,412912.5
32,66,3394100030,2014-09-09,975000.0,4,2.5,2720,11049,2.0,no,0,3,10,2720.0,0,1989,0,98004,47.5815,-122.192,2750,11049,09-09,summer,buy,1150000.0,1267500.0,1267500.0,1267500.0,1267500.0
33,68,1274500060,2014-08-25,204000.0,3,1.0,1000,12070,1.0,no,0,4,7,1000.0,0,1968,0,98042,47.3621,-122.11,1010,12635,08-25,summer,buy,292000.0,265200.0,265200.0,265200.0,265200.0
34,71,1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,no,0,4,7,1260.0,0,1972,0,98034,47.7362,-122.179,1640,4745,01-05,winter,buy,445950.0,422500.0,422500.0,422500.0,422500.0
35,76,4036801170,2014-10-13,380000.0,4,1.75,1760,7300,1.0,no,0,3,7,880.0,880,1956,0,98008,47.6034,-122.125,1680,7500,10-13,autumn,buy,545000.0,494000.0,494000.0,494000.0,494000.0
36,77,2391600320,2015-04-20,480000.0,3,1.0,1040,5060,1.0,no,0,3,7,1040.0,0,1941,0,98116,47.5636,-122.394,890,5060,04-20,spring,buy,562750.0,624000.0,624000.0,624000.0,624000.0
37,82,9418400240,2014-10-28,355000.0,2,1.0,2020,6720,1.0,no,0,3,7,1010.0,1010,1948,0,98118,47.5474,-122.291,1720,6720,10-28,autumn,buy,367500.0,390500.00000000006,390500.00000000006,390500.00000000006,461500.0
38,83,1523059105,2015-01-28,356000.0,3,1.5,1680,8712,1.0,no,0,3,8,1680.0,0,1964,0,98059,47.4811,-122.149,1850,8797,01-28,winter,buy,435000.0,462800.0,462800.0,462800.0,462800.0
39,84,1133000671,2014-06-02,315000.0,3,1.0,960,6634,1.0,no,0,3,6,960.0,0,1952,0,98125,47.7264,-122.31,1570,7203,06-02,spring,buy,425000.0,409500.0,409500.0,409500.0,409500.0
40,86,2599001200,2014-11-03,305000.0,5,2.25,2660,8400,1.5,no,0,5,7,2660.0,0,1961,0,98092,47.2909,-122.189,1590,8165,11-03,autumn,buy,309780.0,335500.0,335500.0,396500.0,396500.0
41,88,1332700270,2014-05-19,215000.0,2,2.25,1610,2040,2.0,no,0,4,7,1610.0,0,1979,0,98056,47.518,-122.194,1950,2025,05-19,spring,buy,380000.0,279500.0,279500.0,279500.0,279500.0
42,89,3869900162,2014-09-04,335000.0,2,1.75,1030,1066,2.0,no,0,3,7,765.0,265,2006,0,98136,47.5394,-122.387,1030,1106,09-04,summer,buy,489950.0,435500.0,435500.0,435500.0,435500.0
43,90,2791500270,2014-05-22,243500.0,4,2.5,1980,7403,2.0,no,0,3,7,1980.0,0,1988,0,98023,47.2897,-122.372,1980,7510,05-22,spring,buy,268450.0,316550.0,316550.0,316550.0,316550.0
44,92,4168000060,2015-02-26,153000.0,3,1.0,1200,10500,1.0,no,0,3,7,1200.0,0,1962,0,98023,47.322,-122.351,1350,10500,02-26,winter,buy,268450.0,198900.0,198900.0,198900.0,198900.0
45,93,6021501535,2014-07-25,430000.0,3,1.5,1580,5000,1.0,no,0,3,8,1290.0,290,1939,0,98117,47.687,-122.386,1570,4500,07-25,summer,buy,544000.0,559000.0,559000.0,559000.0,559000.0
46,95,1483300570,2014-09-08,905000.0,4,2.5,3300,10250,1.0,no,0,3,7,2390.0,910,1946,1991,98040,47.5873,-122.249,1950,6045,09-08,summer,buy,993750.0,1176500.0,1176500.0,1176500.0,1176500.0
47,96,3422049190,2015-03-30,247500.0,3,1.75,1960,15681,1.0,no,0,3,7,1960.0,0,1967,0,98032,47.3576,-122.277,1750,15616,03-30,spring,buy,249000.0,321750.0,272250.0,321750.0,321750.0
48,97,1099611230,2014-09-12,199000.0,4,1.5,1160,6400,1.0,no,0,4,7,1160.0,0,1975,0,98023,47.3036,-122.378,1160,6400,09-12,summer,buy,268450.0,258700.0,258700.0,258700.0,258700.0
49,98,722079104,2014-07-11,314000.0,3,1.75,1810,41800,1.0,no,0,5,7,1210.0,600,1980,0,98038,47.4109,-121.958,1650,135036,07-11,summer,buy,342000.0,408200.0,408200.0,408200.0,408200.0
50,103,2450000295,2014-10-07,1088000.0,3,2.5,2920,8113,2.0,no,0,3,8,2920.0,0,1950,2010,98004,47.5814,-122.196,2370,8113,10-07,autumn,buy,1150000.0,1196800.0,1414400.0,1414400.0,1414400.0
51,104,6197800045,2014-09-24,290000.0,3,1.0,1210,33919,1.0,no,0,3,7,1210.0,0,1954,0,98058,47.4375,-122.184,1640,14910,09-24,autumn,buy,335000.0,377000.0,377000.0,377000.0,377000.0
52,106,546000875,2014-05-23,460000.0,3,1.0,1670,4005,1.5,no,0,4,7,1170.0,500,1939,0,98117,47.6878,-122.38,1240,4005,05-23,spring,buy,544000.0,598000.0,598000.0,598000.0,598000.0
53,107,3530510041,2014-07-23,188500.0,2,1.75,1240,2493,1.0,no,0,4,8,1240.0,0,1985,0,98198,47.3813,-122.322,1270,4966,07-23,summer,buy,265000.0,245050.0,245050.0,245050.0,245050.0
54,109,3134100116,2014-08-27,470000.0,5,1.75,2030,12342,2.0,no,0,4,7,2030.0,0,1942,0,98052,47.6417,-122.109,2500,9433,08-27,summer,buy,615000.0,611000.0,611000.0,611000.0,611000.0
55,112,2525310310,2014-09-16,272500.0,3,1.75,1540,12600,1.0,no,0,4,7,1160.0,380,1980,0,98038,47.3624,-122.031,1540,11656,09-16,summer,buy,342000.0,354250.0,354250.0,354250.0,354250.0
56,113,6126500060,2014-11-24,329950.0,3,1.75,2080,5969,1.0,no,2,3,7,1080.0,1000,1971,0,98108,47.5474,-122.295,2090,5500,11-24,autumn,buy,342500.0,428935.0,428935.0,428935.0,428935.0
57,116,3362400431,2014-06-26,518500.0,3,3.5,1590,1102,3.0,no,0,3,8,1590.0,0,2010,0,98103,47.6824,-122.347,1620,3166,06-26,summer,buy,550000.0,674050.0,674050.0,674050.0,674050.0
58,117,4060000240,2014-06-23,205425.0,2,1.0,880,6780,1.0,no,0,4,6,880.0,0,1945,0,98178,47.5009,-122.248,1190,6780,06-23,summer,buy,278277.0,267052.5,267052.5,267052.5,267052.5
59,118,3454800060,2015-01-08,171800.0,4,2.0,1570,9600,1.0,no,0,3,6,1570.0,0,1950,0,98168,47.4965,-122.303,1880,9000,01-08,winter,buy,235000.0,223340.0,223340.0,223340.0,223340.0
60,121,6675500070,2014-11-19,391500.0,3,2.0,1450,9132,1.0,no,0,3,7,1450.0,0,1987,0,98034,47.7288,-122.226,1580,9104,11-19,autumn,buy,445950.0,508950.0,508950.0,508950.0,508950.0
61,122,3626039187,2015-04-06,395000.0,2,1.0,770,6000,1.0,no,0,3,6,770.0,0,1953,0,98117,47.6999,-122.364,1710,6000,04-06,spring,buy,544000.0,513500.0,513500.0,513500.0,513500.0
62,127,8732020310,2014-07-17,260000.0,4,2.25,2160,8811,1.0,no,0,3,8,1360.0,800,1978,0,98023,47.3129,-122.39,2090,8400,07-17,summer,buy,268450.0,338000.0,338000.0,338000.0,338000.0
63,129,7853210060,2015-04-06,430000.0,4,2.5,2070,4310,2.0,no,0,3,7,2070.0,0,2004,0,98065,47.5319,-121.85,1970,3748,04-06,spring,buy,500000.0,559000.0,559000.0,559000.0,559000.0
64,130,3668000070,2015-01-05,212000.0,3,1.75,1060,7875,1.0,no,0,4,7,1060.0,0,1986,0,98092,47.2761,-122.152,1420,7680,01-05,winter,buy,309780.0,275600.0,275600.0,275600.0,275600.0
65,133,8929000270,2014-05-12,453246.0,3,2.5,2010,2287,2.0,no,0,3,8,1390.0,620,2014,0,98029,47.5517,-121.998,1690,1662,05-12,spring,buy,575000.0,589219.8,589219.8,589219.8,589219.8
66,135,921049315,2014-08-13,199000.0,3,1.75,1320,17390,1.0,no,0,4,7,1320.0,0,1956,0,98003,47.3257,-122.296,1550,19265,08-13,summer,buy,267475.0,258700.0,258700.0,258700.0,258700.0
67,136,3655000070,2014-08-05,220000.0,4,1.75,2020,7840,1.0,no,0,3,7,1010.0,1010,1968,0,98003,47.3309,-122.299,1750,8140,08-05,summer,buy,267475.0,286000.0,286000.0,286000.0,286000.0
68,138,3992700335,2014-07-07,382500.0,2,1.0,1190,4440,1.0,no,0,3,6,1190.0,0,1981,0,98125,47.7135,-122.287,1060,5715,07-07,summer,buy,425000.0,497250.0,497250.0,497250.0,497250.0
69,139,2767603505,2014-05-07,519950.0,3,2.25,1170,1249,3.0,no,0,3,8,1170.0,0,2014,0,98107,47.6722,-122.381,1350,1310,05-07,spring,buy,529950.0,571945.0,675935.0,571945.0,675935.0
70,140,4232901525,2014-06-27,665000.0,2,1.0,1110,3200,1.0,no,0,3,7,1110.0,0,1925,0,98119,47.6338,-122.358,1170,3600,06-27,summer,buy,744975.0,864500.0,731500.0000000001,864500.0,864500.0
71,141,1777500060,2014-07-08,527700.0,5,2.5,2820,9375,1.0,no,0,4,8,1550.0,1270,1968,0,98006,47.5707,-122.128,2820,9375,07-08,summer,buy,760184.5,686010.0,686010.0,686010.0,686010.0
72,142,1432900240,2015-05-08,205000.0,3,1.0,1610,8579,1.0,no,0,4,7,1010.0,600,1962,0,98058,47.4563,-122.171,1610,8579,05-08,spring,buy,335000.0,266500.0,266500.0,266500.0,266500.0
73,144,6071600370,2015-02-27,500000.0,4,2.25,2030,8517,1.0,no,0,4,8,1380.0,650,1961,0,98006,47.5495,-122.174,2230,8824,02-27,winter,buy,760184.5,650000.0,650000.0,650000.0,650000.0
74,147,3224079105,2014-08-06,430000.0,2,2.5,2420,60984,2.0,no,0,3,7,2420.0,0,2007,0,98027,47.5262,-121.943,1940,193842,08-06,summer,buy,570500.0,559000.0,559000.0,559000.0,559000.0
75,149,1994200024,2014-11-04,511000.0,3,1.0,1430,3455,1.0,no,0,3,7,980.0,450,1947,0,98103,47.6873,-122.336,1450,4599,11-04,autumn,buy,550000.0,664300.0,664300.0,664300.0,664300.0
76,150,3362900810,2014-08-20,532170.0,3,2.0,1360,3090,2.0,no,0,3,8,1360.0,0,1990,0,98103,47.6838,-122.353,1500,3090,08-20,summer,buy,550000.0,691821.0,691821.0,691821.0,691821.0
77,154,7920100045,2014-05-16,350000.0,1,1.0,700,5100,1.0,no,0,3,7,700.0,0,1942,0,98115,47.679,-122.3,1010,5100,05-16,spring,buy,567000.0,455000.0,455000.0,455000.0,455000.0
78,155,8960000030,2014-07-28,215000.0,3,1.0,1180,7669,1.0,no,0,4,7,1180.0,0,1967,0,98058,47.4479,-122.176,1190,7669,07-28,summer,buy,335000.0,279500.0,279500.0,279500.0,279500.0
79,158,8029200135,2014-11-13,247000.0,3,2.0,1270,7198,1.5,no,0,3,7,1270.0,0,1916,2013,98022,47.2086,-121.996,1160,7198,11-13,autumn,buy,279500.0,321100.0,321100.0,321100.0,321100.0
80,159,1081200350,2014-10-03,320000.0,4,1.75,1760,11180,1.0,no,0,4,8,1760.0,0,1968,0,98059,47.4715,-122.118,1730,11180,10-03,autumn,buy,435000.0,416000.0,416000.0,416000.0,416000.0
81,160,84000105,2014-05-07,255000.0,5,2.25,2060,8632,1.0,no,0,3,7,1030.0,1030,1962,0,98146,47.4877,-122.335,1010,11680,05-07,spring,buy,305000.0,331500.0,331500.0,331500.0,331500.0
82,161,3756500060,2015-03-09,438000.0,3,1.75,1780,9660,1.0,no,0,3,7,1780.0,0,1962,0,98034,47.7171,-122.193,1200,9660,03-09,winter,buy,445950.0,569400.0,569400.0,569400.0,569400.0
83,163,3574800520,2014-06-20,441000.0,3,2.75,1910,7280,1.0,no,0,3,7,1160.0,750,1979,0,98034,47.7319,-122.224,1710,8152,06-20,spring,buy,445950.0,485100.00000000006,485100.00000000006,573300.0,573300.0
84,164,2617300160,2014-08-12,420000.0,3,2.0,2020,38332,1.0,no,0,4,7,1010.0,1010,1975,0,98027,47.4582,-122.023,2110,36590,08-12,summer,buy,570500.0,546000.0,546000.0,546000.0,546000.0
85,165,2558660270,2014-12-08,370000.0,3,1.75,1580,7000,1.0,no,0,3,7,1180.0,400,1976,0,98034,47.7209,-122.168,1640,7500,12-08,autumn,buy,445950.0,481000.0,481000.0,481000.0,481000.0
86,169,1755700060,2014-06-11,371500.0,3,2.0,1370,8336,1.0,no,0,5,7,1370.0,0,1964,0,98133,47.7458,-122.331,1770,7288,06-11,spring,buy,375000.0,408650.00000000006,482950.0,408650.00000000006,482950.0
87,170,4330600435,2015-03-16,284000.0,3,1.75,1560,21000,1.0,no,0,3,7,1560.0,0,1954,0,98166,47.4776,-122.337,1070,7920,03-16,winter,buy,390000.0,369200.0,369200.0,369200.0,369200.0
88,172,1999700045,2014-05-02,313000.0,3,1.5,1340,7912,1.5,no,0,3,7,1340.0,0,1955,0,98133,47.7658,-122.339,1480,7940,05-02,spring,buy,375000.0,406900.0,406900.0,406900.0,406900.0
89,174,1687900520,2014-09-29,673000.0,4,2.25,2590,8190,2.0,no,0,4,8,2590.0,0,1980,0,98006,47.5619,-122.125,2260,8335,09-29,autumn,buy,760184.5,874900.0,874900.0,874900.0,874900.0
90,175,7234600798,2015-02-10,425000.0,3,2.5,1120,1100,2.0,no,0,3,8,820.0,300,2008,0,98122,47.6106,-122.31,1590,1795,02-10,winter,buy,572000.0,552500.0,552500.0,552500.0,552500.0
91,176,3881900445,2014-07-09,399950.0,5,2.75,1970,5400,1.0,no,0,3,7,1320.0,650,1986,0,98144,47.5868,-122.308,1280,2150,07-09,summer,buy,450000.0,519935.0,519935.0,519935.0,519935.0
92,177,2254502445,2014-05-30,385000.0,3,1.0,1220,4800,1.0,no,0,3,6,1220.0,0,1901,0,98122,47.6101,-122.307,1200,4800,05-30,spring,buy,572000.0,500500.0,500500.0,500500.0,500500.0
93,178,5437810320,2014-11-17,269950.0,3,1.5,1950,7560,1.0,no,2,4,7,1320.0,630,1975,0,98022,47.1976,-121.999,1950,8941,11-17,autumn,buy,279500.0,350935.0,350935.0,350935.0,350935.0
94,179,9158100075,2015-01-07,330000.0,2,1.0,1350,8220,1.0,no,0,3,7,1060.0,290,1949,0,98177,47.7224,-122.358,1540,8280,01-07,winter,buy,554000.0,429000.0,429000.0,429000.0,429000.0
95,180,3830630310,2014-07-25,260000.0,3,2.5,1670,5797,2.0,no,0,3,7,1670.0,0,1988,0,98030,47.3505,-122.179,1670,6183,07-25,summer,buy,282255.0,338000.0,338000.0,338000.0,338000.0
96,183,6661200320,2014-07-23,163500.0,2,1.5,1050,3419,2.0,no,0,3,7,1050.0,0,1996,0,98038,47.3848,-122.039,1050,3417,07-23,summer,buy,342000.0,212550.0,212550.0,212550.0,212550.0
97,187,1954440060,2014-05-05,560000.0,3,2.5,1900,8744,2.0,no,0,3,8,1900.0,0,1987,0,98074,47.62,-122.043,2030,8744,05-05,spring,buy,642000.0,728000.0,728000.0,728000.0,728000.0
98,189,1115810060,2014-12-05,585188.0,3,2.25,2230,10026,1.0,no,0,3,8,1430.0,800,1975,0,98052,47.6647,-122.153,2230,9340,12-05,autumn,buy,615000.0,760744.4,760744.4,760744.4,760744.4
99,190,9477200200,2014-08-18,305000.0,3,1.75,1650,9480,1.0,no,0,3,7,1220.0,430,1977,0,98034,47.726,-122.191,1540,8400,08-18,summer,buy,445950.0,396500.0,396500.0,396500.0,396500.0
100,191,1432600560,2014-11-05,166950.0,3,1.0,1190,8820,1.0,no,0,3,6,1190.0,0,1959,0,98058,47.4616,-122.184,1230,7980,11-05,autumn,buy,335000.0,217035.0,217035.0,217035.0,217035.0
101,192,2287000060,2014-09-12,799000.0,3,2.5,2140,9897,1.0,no,0,4,8,2140.0,0,1959,0,98040,47.5505,-122.219,2680,10083,09-12,summer,buy,993750.0,1038700.0,1038700.0,1038700.0,1038700.0
102,194,3996900125,2014-12-01,230000.0,3,1.0,1060,10228,1.0,no,0,3,7,1060.0,0,1948,0,98155,47.7481,-122.3,1570,10228,12-01,autumn,buy,375000.0,299000.0,299000.0,299000.0,299000.0
103,195,7796450200,2014-05-15,256883.0,3,2.5,1690,5025,2.0,no,0,3,8,1690.0,0,2003,0,98023,47.2779,-122.347,2550,5001,05-15,spring,buy,268450.0,333947.9,333947.9,333947.9,333947.9
104,198,2824079053,2015-01-13,440000.0,3,2.5,1910,66211,2.0,no,0,3,7,1910.0,0,1997,0,98024,47.5385,-121.911,2330,67268,01-13,winter,buy,460000.0,572000.0,484000.00000000006,484000.00000000006,572000.0
105,200,3542300060,2015-03-11,210000.0,3,1.0,860,11725,1.0,no,0,4,6,860.0,0,1943,0,98056,47.5093,-122.184,1300,9514,03-11,winter,buy,380000.0,273000.0,273000.0,273000.0,273000.0
106,202,7551300060,2014-07-16,470000.0,3,1.0,1010,5000,1.0,no,0,3,7,1010.0,0,1952,0,98107,47.675,-122.394,1680,5000,07-16,summer,buy,529950.0,611000.0,611000.0,611000.0,611000.0
107,203,100600550,2014-08-04,226500.0,3,1.5,1300,7370,1.0,no,0,4,7,900.0,400,1976,0,98023,47.3025,-122.37,1430,7500,08-04,summer,buy,268450.0,294450.0,294450.0,294450.0,294450.0
108,204,3211100860,2015-03-03,274250.0,3,1.0,910,8450,1.0,no,0,4,6,910.0,0,1962,0,98059,47.4787,-122.158,1400,8040,03-03,winter,buy,435000.0,356525.0,356525.0,356525.0,356525.0
109,205,3456000310,2014-08-04,840000.0,4,1.75,2480,11010,1.0,no,0,4,9,1630.0,850,1966,0,98040,47.5378,-122.219,2770,10744,08-04,summer,buy,993750.0,1092000.0,1092000.0,1092000.0,1092000.0
110,207,7465900060,2015-02-05,425000.0,3,1.0,1010,5864,1.0,no,0,3,7,1010.0,0,1915,0,98116,47.5733,-122.381,1290,5000,02-05,winter,buy,562750.0,552500.0,552500.0,552500.0,552500.0
111,208,1222000055,2014-11-23,180250.0,2,0.75,900,9600,1.0,no,0,3,6,900.0,0,1941,0,98166,47.4604,-122.339,1250,14280,11-23,autumn,buy,390000.0,234325.0,234325.0,234325.0,234325.0
112,210,2310030510,2015-04-22,320000.0,4,2.25,1550,7579,2.0,no,0,3,8,1550.0,0,1993,0,98038,47.354,-122.047,1630,6397,04-22,spring,buy,342000.0,416000.0,416000.0,416000.0,416000.0
113,211,1025049114,2014-07-17,625504.0,3,2.25,1270,1566,2.0,no,0,3,8,1060.0,210,2014,0,98105,47.6647,-122.284,1160,1327,07-17,summer,buy,675000.0,813155.2000000001,813155.2000000001,688054.4,813155.2000000001
114,212,8677300550,2014-05-15,592500.0,4,2.5,2240,12032,1.0,no,0,3,9,2240.0,0,1983,0,98074,47.6143,-122.017,2520,12368,05-15,spring,buy,642000.0,770250.0,770250.0,770250.0,770250.0
115,219,7611200125,2014-10-23,467000.0,2,1.5,1320,10800,1.0,no,0,4,8,1320.0,0,1947,0,98177,47.7145,-122.367,2120,12040,10-23,autumn,buy,554000.0,607100.0,607100.0,607100.0,607100.0
116,220,5611500140,2014-08-22,686000.0,4,2.5,2760,6440,2.0,no,0,3,10,2760.0,0,1999,0,98075,47.5836,-122.026,3070,8127,08-22,summer,buy,739999.0,891800.0,891800.0,891800.0,891800.0
117,224,705700390,2014-09-03,328000.0,3,2.25,2020,8379,2.0,no,0,3,7,2020.0,0,1994,0,98038,47.3828,-122.023,2020,8031,09-03,summer,buy,342000.0,426400.0,426400.0,426400.0,426400.0
118,226,8682281200,2015-03-09,479950.0,2,2.0,1510,6516,1.0,no,0,3,8,1510.0,0,2005,0,98053,47.7076,-122.013,1640,6009,03-09,winter,buy,635000.0,623935.0,623935.0,623935.0,623935.0
119,227,7972000200,2014-05-29,264950.0,4,2.25,1720,9753,1.0,no,0,4,7,1120.0,600,1978,0,98023,47.2922,-122.371,1510,9753,05-29,spring,buy,268450.0,291445.0,344435.0,344435.0,344435.0
120,228,722059070,2015-01-15,235000.0,3,1.0,1430,15246,1.0,no,0,4,7,980.0,450,1961,0,98031,47.4075,-122.214,1960,13068,01-15,winter,buy,288200.0,305500.0,305500.0,305500.0,305500.0
121,229,7202340400,2015-03-03,516500.0,3,2.5,1480,4729,2.0,no,0,3,7,1480.0,0,2004,0,98053,47.6794,-122.034,2250,4729,03-03,winter,buy,635000.0,671450.0,671450.0,671450.0,671450.0
